R_mean,G_mean,B_mean,H,S,V,L_img,a_img,b_img,L_star,a_star,b_star
242,228,214,28.2,0.116,0.949,91.2,3.8,8.1,90.8,4.1,8.4
226,198,176,24.5,0.221,0.886,80.4,10.7,18.5,79.9,11.2,19.0
205,171,142,24.0,0.307,0.804,70.1,15.8,27.3,69.6,16.4,27.9
188,150,120,23.0,0.362,0.737,61.8,20.2,31.4,62.3,19.7,30.8
168,126,102,20.0,0.393,0.659,53.4,25.1,30.2,52.9,25.6,30.8
142,101,92,7.5,0.352,0.557,45.6,30.4,19.8,46.0,29.8,20.3
116,82,83,358.8,0.293,0.455,37.2,30.8,10.4,36.8,31.4,10.0
91,72,64,18.5,0.297,0.357,29.6,17.9,18.7,30.1,17.4,19.1
64,58,51,31.4,0.203,0.251,22.8,7.2,12.6,22.4,7.8,12.1
38,36,34,30.0,0.105,0.149,14.9,2.1,4.0,15.3,1.8,4.4
